backbone,dataset,artifact_name,artifact_dir,registry_member,registry_contract_valid,classification,complete_test_contract,audit_or_smoke_name,operator_audit_name,method,axis,seed,selected_epoch,balanced_accuracy,cohen_kappa,macro_f1,weighted_f1,macro_f1_reconstructed,metric_source,config_present,local_log_present,checkpoint_best_present,summary_present,final_test_present
CBraMod,FACED,audit_seed42_gate,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/audit_seed42_gate,False,,audit_or_smoke,False,True,False,full_finetune,none,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,audit_seed42_gate_retry,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/audit_seed42_gate_retry,False,,audit_or_smoke,False,True,False,full_finetune,none,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_audit_gate_20260731,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_audit_gate_20260731,False,,audit_or_smoke,False,True,False,full_finetune,none,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_axis_blind_s1024_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_axis_blind_s1024_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,axis_blind,generic_token_control,1024.0,41.0,0.3813741277509394,0.30253887522407974,0.3834435372789763,0.3823262491061035,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_axis_blind_s3407_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_axis_blind_s3407_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,axis_blind,generic_token_control,3407.0,41.0,0.418545356951154,0.3422251815476809,0.41681303217201443,0.4147757057259706,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_axis_blind_s42_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_axis_blind_s42_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,axis_blind,generic_token_control,42.0,35.0,0.42793880837359094,0.354115440716816,0.42895590983377346,0.42716604128412744,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_cbramod_original_s1024_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s1024_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,full_finetune,none,1024.0,18.0,0.5619967793880838,0.505205399428345,0.5675525451894428,0.5641155910561543,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_cbramod_original_s3407_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s3407_lr1e-4_b64_e50,True,True,registry_complete,True,False,False,full_finetune,none,3407.0,27.0,0.5701825013419217,0.5139172891541126,0.5772939497719034,0.5732697153020277,False,CBraMod/test_metrics.json,True,False,False,True,False
CBraMod,FACED,faced_cbramod_original_s42_lr1e-4_b64_e50_r1,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr1e-4_b64_e50_r1,False,,empty_or_unresolved,False,False,False,full_finetune,none,42.0,,,,,,False,CBraMod/test_metrics.json,True,False,False,False,False
CBraMod,FACED,faced_cbramod_original_s42_lr1e-4_b64_e50_r3,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr1e-4_b64_e50_r3,True,True,registry_complete,True,False,False,full_finetune,none,42.0,25.0,0.5831991411701556,0.5271355002814669,0.5909614301650772,0.5864019244151826,False,CBraMod/test_metrics.json,True,False,False,True,False
