log_path,relative_path,kind,suffix,bytes,line_count,read_status,log_status,failure_markers,success_markers,linked_artifacts,linked_artifact_count,tail
/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/logs/slurm/cbram_faced/12918331.err,CBraMod/logs/slurm/cbram_faced/12918331.err,scheduler_output_log,.err,643,10.0,ok,failure_marker,"traceback,import_error",,,0,ModuleNotFoundError: No module named 'yaml'
/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/logs/slurm/cbram_faced/12918331.out,CBraMod/logs/slurm/cbram_faced/12918331.out,scheduler_output_log,.out,1894,25.0,ok,no_terminal_marker,,,,0,+-----------------------------------------------------------------------------------------+
/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/logs/slurm/cbram_faced/12918381.err,CBraMod/logs/slurm/cbram_faced/12918381.err,scheduler_output_log,.err,395,5.0,ok,failure_marker,interrupt,,,0,[2026-07-31T23:22:47.958] error: *** JOB 12918381 ON gpu0078 CANCELLED AT 2026-07-31T23:22:47 DUE to SIGNAL Terminated ***
/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/logs/slurm/cbram_faced/12918381.out,CBraMod/logs/slurm/cbram_faced/12918381.out,scheduler_output_log,.out,1894,25.0,ok,no_terminal_marker,,,,0,+-----------------------------------------------------------------------------------------+
/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/logs/slurm/cbram_faced/12918556.err,CBraMod/logs/slurm/cbram_faced/12918556.err,scheduler_output_log,.err,389,7.0,ok,failure_marker,"traceback,import_error",,,0,ModuleNotFoundError: No module named 'yaml'
/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/logs/slurm/cbram_faced/12918556.out,CBraMod/logs/slurm/cbram_faced/12918556.out,scheduler_output_log,.out,0,0.0,ok,empty,,,,0,
/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/logs/slurm/cbram_faced/12919390.err,CBraMod/logs/slurm/cbram_faced/12919390.err,scheduler_output_log,.err,272,4.0,ok,no_terminal_marker,,,,0,checkpoint_sha256: 0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178
/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/logs/slurm/cbram_faced/12919390.out,CBraMod/logs/slurm/cbram_faced/12919390.out,scheduler_output_log,.out,3585,29.0,ok,completion_marker,,completed_summary,faced_cbramod_original_s42_lr1e-4_b64_e50_r3,1,"{'status': 'completed', 'run_id': 'faced_cbramod_original_s42_lr1e-4_b64_e50_r3', 'artifact_dir': '/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr1e-4_b64_e50_r3', 'method'"
/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/logs/slurm/cbram_faced/12920219.err,CBraMod/logs/slurm/cbram_faced/12920219.err,scheduler_output_log,.err,269,4.0,ok,no_terminal_marker,,,,0,checkpoint_sha256: 0792cb808c14e6b7a2bb2ce1dff379bc47bc54c49a779825bdfeb33bf8157178
/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/logs/slurm/cbram_faced/12920219.out,CBraMod/logs/slurm/cbram_faced/12920219.out,scheduler_output_log,.out,3576,29.0,ok,completion_marker,,completed_summary,faced_cbramod_original_s42_lr5e-5_b64_e50,1,"{'status': 'completed', 'run_id': 'faced_cbramod_original_s42_lr5e-5_b64_e50', 'artifact_dir': '/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr5e-5_b64_e50', 'method': 'ful"
