backbone,dataset,method,axis,source_package,n,seeds,complete_three_seed,all_contract_valid,configuration_homogeneous,manuscript_role,balanced_accuracy_mean,balanced_accuracy_sd,cohen_kappa_mean,cohen_kappa_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,selected_epoch_mean,source_artifacts,metric_complement_source,audit_note
CBraMod,FACED,axis_blind,generic_token_control,registry_aggregate,3,"42,1024,3407",True,True,True,primary_RQ2_candidate,0.3879495437466452,0.0030747287271576,0.30972327,0.00402838,0.38743783,0.00154016,0.3864456906541218,0.0018620982913791,128463958.0,31.0,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s1024_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s3407_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s42_20260804,manuscript_final_v2 method_summary,canonical registry group
CBraMod,FACED,frozen_probe,none,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.377706208624083,0.0022865231560444,0.29927972,0.00114846,0.37887649,0.00241262,0.3783969767727922,0.0015616451692771,128404009.0,35.333333333333336,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_probe_s1024_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_probe_s3407_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_probe_s42_20260804,manuscript_final_v2 method_summary,canonical registry group
CBraMod,FACED,full_finetune,none,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.5717928073000537,0.0106925137476442,0.5154194,0.01104195,0.57860264,0.01175919,0.5745957435911215,0.0112021840243339,133287809.0,23.33333333333333,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s1024_lr1e-4_b64_e50|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s3407_lr1e-4_b64_e50|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr1e-4_b64_e50_r3,manuscript_final_v2 method_summary,canonical registry group
CBraMod,FACED,generic_bottleneck,none,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.3901860797996063,0.0030903069331572,0.31229097,0.00308935,0.38923079,0.00353016,0.3881903308203765,0.0033446622093586,128430274.0,27.666666666666668,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_generic_s1024_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_generic_s3407_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_generic_s42_20260804,manuscript_final_v2 method_summary,canonical registry group
CBraMod,FACED,interaction_aligned,channel,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.3794507067453927,0.0037293190816057,0.3014636214690508,0.0036062494813712,0.3803801223908987,0.0038462394456485,0.3799912560015756,0.0035282297297197,128433814.0,36.0,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_s1024_lr5e-4_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_s3407_lr5e-4_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_s42_lr5e-4_20260804,registry aggregate,canonical registry group
CBraMod,FACED,interaction_aligned,channel_patch,registry_aggregate,3,"42,1024,3407",True,True,True,primary_RQ2_candidate,0.3909912327786723,0.0038807606417505,0.31319431,0.0048806,0.39068883,0.00383216,0.389706107040889,0.0041301614821716,128463619.0,33.0,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,manuscript_final_v2 method_summary,canonical registry group
CBraMod,FACED,interaction_aligned,patch,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.3867865449991053,0.0070554116701839,0.3092730874254816,0.0071971551793593,0.3872523437539998,0.0062941780555574,0.3866389363293879,0.0059909329274955,128433814.0,42.333333333333336,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_patch_s1024_lr5e-4_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_patch_s3407_lr5e-4_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_patch_s42_lr5e-4_20260804,registry aggregate,canonical registry group
CBraMod,FACED,lora,none,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.4174270889246734,0.0074356667524309,0.34168619,0.00855028,0.41816865,0.00840417,0.4160802444314703,0.0083461326880115,128480809.0,14.666666666666666,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_lora_qkv_r8_s1024_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_lora_qkv_r8_s3407_20260804|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_lora_qkv_r8_s42_20260804,manuscript_final_v2 method_summary,canonical registry group
CBraMod,FACED,native_full_finetune,channel,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.5645016997674003,0.0160393787664213,0.5078555190795054,0.0170370181074775,0.5734871920534892,0.0150156213536408,0.5693316768142537,0.0147396012660751,133317614.0,27.0,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_full_channel_s1024_lr1e-4_b64_e50|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_full_channel_s3407_lr1e-4_b64_e50|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_full_channel_s42_lr1e-4_b64_e50,registry aggregate,canonical registry group
CBraMod,FACED,native_full_finetune,channel_patch,registry_aggregate,3,"42,1024,3407",True,True,True,supporting_or_boundary,0.5653515834675255,0.0042179907797911,0.50723153,0.00418278,0.57132377,0.00333424,0.5669757116051704,0.003089281479542,133347419.0,26.666666666666668,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_full_channel_patch_s1024_lr1e-4_b64_e50|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_full_channel_patch_s3407_lr1e-4_b64_e50|/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_native_full_channel_patch_s42_lr1e-4_b64_e50,manuscript_final_v2 method_summary,canonical registry group
