backbone,dataset,method,axis,source_package,n,seeds,complete_three_seed,all_contract_valid,configuration_homogeneous,manuscript_role,balanced_accuracy_mean,balanced_accuracy_sd,cohen_kappa_mean,cohen_kappa_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,selected_epoch_mean,source_artifacts,audit_note
LaBraM,FACED,frozen_probe,frozen_probe,manuscript_final_v3_cross_backbone_context,3,"42,1024,3407",True,,,geometry_boundary_context,0.140007157,0.00344833,,,0.097696822,0.018597051,,,,,LaBraM/checkpoints/faced_reviewer_r2_frozen_dense_seed1024|LaBraM/checkpoints/faced_reviewer_r2_frozen_dense_seed3407|LaBraM/checkpoints/faced_reviewer_r2_frozen_dense_seed42,legacy frozen packet
LaBraM,FACED,native_patch,native_patch,manuscript_final_v3_cross_backbone_context,3,"42,1024,3407",True,,,geometry_boundary_context,0.167382358,0.007355314,,,0.153743255,0.000390417,,,,,LaBraM/checkpoints/faced_reviewer_r2_frozen_patch_seed1024|LaBraM/checkpoints/faced_reviewer_r2_frozen_patch_seed3407|LaBraM/checkpoints/faced_reviewer_r2_frozen_patch_seed42,legacy full-width packet
LaBraM,FACED,generic,generic,manuscript_final_v3_cross_backbone_context,3,"42,1024,3407",True,,,geometry_boundary_context,0.178162462,0.002589364,,,0.169312475,0.002714929,,,,,LaBraM/checkpoints/faced_reviewer_r2_frozen_generic_seed1024|LaBraM/checkpoints/faced_reviewer_r2_frozen_generic_seed3407|LaBraM/checkpoints/faced_reviewer_r2_frozen_generic_seed42,legacy frozen packet
LaBraM,FACED,lora,lora,manuscript_final_v3_cross_backbone_context,3,"42,1024,3407",True,,,geometry_boundary_context,0.282340311,0.032402059,,,0.279833019,0.032093933,,,,,LaBraM/checkpoints/faced_reviewer_r2_lora_qkv_r8_seed1024|LaBraM/checkpoints/faced_reviewer_r2_lora_qkv_r8_seed3407|LaBraM/checkpoints/faced_reviewer_r2_lora_qkv_r8_seed42,three-seed context
LaBraM,FACED,upper2,upper2,manuscript_final_v3_cross_backbone_context,3,"42,1024,3407",True,,,geometry_boundary_context,0.296877796,0.001084662,,,0.296595997,0.001618115,,,,,LaBraM/checkpoints/faced_reviewer_r2_upper2_seed1024|LaBraM/checkpoints/faced_reviewer_r2_upper2_seed3407|LaBraM/checkpoints/faced_reviewer_r2_upper2_seed42,three-seed context
LaBraM,ISRUC,frozen_probe,frozen_probe,manuscript_final_v3_cross_backbone_context,3,"42,1024,3407",True,,,geometry_boundary_context,0.607740657,0.002390554,,,0.584215764,0.004300436,,,,,LaBraM/checkpoints/isruc_dense_bls0_lr2e-4_s42_b16_e30|LaBraM/checkpoints/isruc_dense_bls0_s1024_lr2e-4_b16_e30|LaBraM/checkpoints/isruc_dense_bls0_s3407_lr2e-4_b16_e30,legacy frozen packet
LaBraM,ISRUC,native_patch,native_patch,manuscript_final_v3_cross_backbone_context,3,"42,1024,3407",True,,,geometry_boundary_context,0.725144971,0.003238382,,,0.712157758,0.003045633,,,,,LaBraM/checkpoints/isruc_patch_util_bls0_lr2e-4_s42_b16_e30|LaBraM/checkpoints/isruc_patch_util_bls0_s1024_lr2e-4_b16_e30|LaBraM/checkpoints/isruc_patch_util_bls0_s3407_lr2e-4_b16_e30,legacy full-width packet
LaBraM,ISRUC,axis_blind_b400,axis_blind_b400,manuscript_final_v3_cross_backbone_context,3,"42,1024,3407",True,,,geometry_boundary_context,0.72329841,0.00218628,,,0.711230293,0.001990189,,,,,LaBraM/checkpoints/isruc_labram_axis_blind_b400_s1024_b16_lr2e-4_e30_retry_seqfix|LaBraM/checkpoints/isruc_labram_axis_blind_b400_s3407_b16_lr2e-4_e30_retry_seqfix|LaBraM/checkpoints/isruc_labram_axis_blind_b400_s42_b16_lr2e-4_e30_retry_seqfix,strict patch-control
LaBraM,ISRUC,native_channel_patch_rank32,native_channel_patch_rank32,manuscript_final_v3_cross_backbone_context,3,"42,1024,3407",True,,,geometry_boundary_context,0.791730869,0.005636322,,,0.785167287,0.007773467,,,,,LaBraM/checkpoints/isruc_labram_lowrank_a05_channel_patch_s1024_b16_r32_lr2e-4_e30_test|LaBraM/checkpoints/isruc_labram_lowrank_a05_channel_patch_s3407_b16_r32_lr2e-4_e30_test|LaBraM/checkpoints/isruc_labram_lowrank_a05_channel_patch_s42_b16_r32_lr2e-4_e30_test,three-seed context
LaBraM,ISRUC,lora,lora,manuscript_final_v3_cross_backbone_context,3,"42,1024,3407",True,,,geometry_boundary_context,0.691747203,0.003739357,,,0.677123353,0.006484557,,,,,LaBraM/checkpoints/isruc_labram_lora_qkv_r8_s1024_b16_lr2e-4_e30_test_retry1|LaBraM/checkpoints/isruc_labram_lora_qkv_r8_s3407_b16_lr2e-4_e30_test_retry1|LaBraM/checkpoints/isruc_labram_lora_qkv_r8_s42_b16_lr2e-4_e30_test_retry1,three-seed context
LaBraM,ISRUC,upper2,upper2,manuscript_final_v3_cross_backbone_context,3,"42,1024,3407",True,,,geometry_boundary_context,0.793873489,0.00525861,,,0.784691071,0.003978565,,,,,LaBraM/checkpoints/isruc_labram_upper2_s1024_b16_lr2e-4_e30_test|LaBraM/checkpoints/isruc_labram_upper2_s3407_b16_lr2e-4_e30_test|LaBraM/checkpoints/isruc_labram_upper2_s42_b16_lr2e-4_e30_test,three-seed context
CBraMod,TUEV,axis_decomposed_mlp,channel_patch_branch_local,manuscript_final_v3_operator_audit,3,"42,1024,3407",True,True,True,secondary_operator_audit,0.463663063,0.016804595,,,0.478109862,0.00631752,,,59696.0,,operator_audit_seed_results.csv,branch-local MLP; no cross-channel or cross-patch attention mixing
LaBraM,TUEV,axis_decomposed_mlp,channel_patch_branch_local,manuscript_final_v3_operator_audit,3,"42,1024,3407",True,True,True,secondary_operator_audit,0.431076131,0.003331353,,,0.433639915,0.003036337,,,86214.0,,operator_audit_seed_results.csv,branch-local MLP; no cross-channel or cross-patch attention mixing
