backbone,dataset,method,variant,seed,run_id,source_artifact,commit,evidence_tier,manuscript_role,paired_control_run_id,pair_valid,parameter_match_pct,trainability_regime,trainable_parameters,selector_metric,selected_epoch,balanced_accuracy,macro_f1,kappa,weighted_f1,audit_status,audit_notes,selection_rule,artifact_final_status,artifact_audit_note,artifact_checks,source_selected_epoch,source_balanced_accuracy,source_macro_f1,source_cohen_kappa,source_weighted_f1,source_trainable_parameter_fraction,source_total_parameters,source_peak_gpu_memory_bytes,source_training_wall_seconds,source_time_per_epoch_seconds
CBraMod,faced,full_finetune,none,1024,faced_cbramod_original_s1024_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s1024_lr1e-4_b64_e50,,PRIMARY_CANDIDATE,RQ3,,,,trainable,133287809,validation_kappa,18,0.5619967793880838,0.5675525451894428,0.505205399428345,0.5641155910561543,UNREVIEWED,,complete_three_seed:full_finetune:none,VERIFIED,all required checks passed,summary.json=true;test_metrics.json=true;resolved_config.json=true;provenance.json=true;dataset_audit.json=true;checkpoint_load_report.json=true;optimizer_groups.json=true;trainability_report.json=true;metrics_by_epoch.jsonl=true;completed=true;test_evaluation_completed=true;strict_checkpoint_load=true;finite_dataset=true;validation_selector=true;frozen_mode=true;seed=true;selected_epoch=true;finite_balanced_accuracy=true;finite_macro_f1=true;finite_cohen_kappa=true;finite_weighted_f1=true,18,0.561996779388,0.567552545189,0.505205399428,0.564115591056,1.0,133287809,7221187072,2698.1616625785828,52.79349050045013
CBraMod,faced,full_finetune,none,3407,faced_cbramod_original_s3407_lr1e-4_b64_e50,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s3407_lr1e-4_b64_e50,,PRIMARY_CANDIDATE,RQ3,,,,trainable,133287809,validation_kappa,27,0.5701825013419217,0.5772939497719034,0.5139172891541126,0.5732697153020277,UNREVIEWED,,complete_three_seed:full_finetune:none,VERIFIED,all required checks passed,summary.json=true;test_metrics.json=true;resolved_config.json=true;provenance.json=true;dataset_audit.json=true;checkpoint_load_report.json=true;optimizer_groups.json=true;trainability_report.json=true;metrics_by_epoch.jsonl=true;completed=true;test_evaluation_completed=true;strict_checkpoint_load=true;finite_dataset=true;validation_selector=true;frozen_mode=true;seed=true;selected_epoch=true;finite_balanced_accuracy=true;finite_macro_f1=true;finite_cohen_kappa=true;finite_weighted_f1=true,27,0.570182501342,0.577293949772,0.513917289154,0.573269715302,1.0,133287809,7221187072,2722.102634906769,53.256713438034055
CBraMod,faced,full_finetune,none,42,faced_cbramod_original_s42_lr1e-4_b64_e50_r3,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_cbramod_original_s42_lr1e-4_b64_e50_r3,,PRIMARY_CANDIDATE,RQ3,,,,trainable,133287809,validation_kappa,25,0.5831991411701556,0.5909614301650772,0.5271355002814669,0.5864019244151826,UNREVIEWED,,complete_three_seed:full_finetune:none,VERIFIED,all required checks passed,summary.json=true;test_metrics.json=true;resolved_config.json=true;provenance.json=true;dataset_audit.json=true;checkpoint_load_report.json=true;optimizer_groups.json=true;trainability_report.json=true;metrics_by_epoch.jsonl=true;completed=true;test_evaluation_completed=true;strict_checkpoint_load=true;finite_dataset=true;validation_selector=true;frozen_mode=true;seed=true;selected_epoch=true;finite_balanced_accuracy=true;finite_macro_f1=true;finite_cohen_kappa=true;finite_weighted_f1=true,25,0.58319914117,0.590961430165,0.527135500281,0.586401924415,1.0,133287809,7221187072,2665.690556049347,52.173524103164674
CBraMod,faced,axis_blind,generic_token_control,1024,faced_evalmode_frozen_axis_blind_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s1024_20260804,,PRIMARY_CANDIDATE,RQ2,faced_evalmode_frozen_axis_blind_s1024_20260804,PAIR_ARTIFACT_UNVERIFIED,0.02346494726559803,frozen,128463958,validation_kappa,32,0.3852657004830918,0.38599831322065864,0.3065033537474482,0.3848693007810737,UNREVIEWED,,complete_three_seed:axis_blind:generic_token_control,VERIFIED,all required checks passed,summary.json=true;test_metrics.json=true;resolved_config.json=true;provenance.json=true;dataset_audit.json=true;checkpoint_load_report.json=true;optimizer_groups.json=true;trainability_report.json=true;metrics_by_epoch.jsonl=true;completed=true;test_evaluation_completed=true;strict_checkpoint_load=true;finite_dataset=true;validation_selector=true;frozen_mode=true;seed=true;selected_epoch=true;finite_balanced_accuracy=true;finite_macro_f1=true;finite_cohen_kappa=true;finite_weighted_f1=true,32,0.385265700483,0.385998313221,0.306503353747,0.384869300781,0.9633754622256191,133347758,3176823296,1170.383778333664,22.88411006450653
CBraMod,faced,axis_blind,generic_token_control,3407,faced_evalmode_frozen_axis_blind_s3407_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s3407_20260804,,PRIMARY_CANDIDATE,RQ2,faced_evalmode_frozen_axis_blind_s3407_20260804,PAIR_ARTIFACT_UNVERIFIED,0.02346494726559803,frozen,128463958,validation_kappa,34,0.3913043478260869,0.38906197842338075,0.31424045356011343,0.38850024109873615,UNREVIEWED,,complete_three_seed:axis_blind:generic_token_control,VERIFIED,all required checks passed,summary.json=true;test_metrics.json=true;resolved_config.json=true;provenance.json=true;dataset_audit.json=true;checkpoint_load_report.json=true;optimizer_groups.json=true;trainability_report.json=true;metrics_by_epoch.jsonl=true;completed=true;test_evaluation_completed=true;strict_checkpoint_load=true;finite_dataset=true;validation_selector=true;frozen_mode=true;seed=true;selected_epoch=true;finite_balanced_accuracy=true;finite_macro_f1=true;finite_cohen_kappa=true;finite_weighted_f1=true,34,0.391304347826,0.389061978423,0.31424045356,0.388500241099,0.9633754622256191,133347758,3176823296,2090.2861795425415,40.62250948429108
CBraMod,faced,axis_blind,generic_token_control,42,faced_evalmode_frozen_axis_blind_s42_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_axis_blind_s42_20260804,,PRIMARY_CANDIDATE,RQ2,faced_evalmode_frozen_axis_blind_s42_20260804,PAIR_ARTIFACT_UNVERIFIED,0.02346494726559803,frozen,128463958,validation_kappa,27,0.38727858293075684,0.38725319859351187,0.30842600691407396,0.38596753008255563,UNREVIEWED,,complete_three_seed:axis_blind:generic_token_control,VERIFIED,all required checks passed,summary.json=true;test_metrics.json=true;resolved_config.json=true;provenance.json=true;dataset_audit.json=true;checkpoint_load_report.json=true;optimizer_groups.json=true;trainability_report.json=true;metrics_by_epoch.jsonl=true;completed=true;test_evaluation_completed=true;strict_checkpoint_load=true;finite_dataset=true;validation_selector=true;frozen_mode=true;seed=true;selected_epoch=true;finite_balanced_accuracy=true;finite_macro_f1=true;finite_cohen_kappa=true;finite_weighted_f1=true,27,0.387278582931,0.387253198594,0.308426006914,0.385967530083,0.9633754622256191,133347758,3176823296,1115.9301543235779,21.804071526527405
CBraMod,faced,interaction_aligned,channel_patch,1024,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,,PRIMARY_CANDIDATE,RQ1;RQ2,faced_evalmode_frozen_axis_blind_s1024_20260804,PAIR_ARTIFACT_UNVERIFIED,0.0002638872453237039,frozen,128463619,validation_kappa,44,0.3875469672571122,0.387896632331497,0.3088363954505686,0.3865745094976027,UNREVIEWED,,complete_three_seed:interaction_aligned:channel_patch,VERIFIED,all required checks passed,summary.json=true;test_metrics.json=true;resolved_config.json=true;provenance.json=true;dataset_audit.json=true;checkpoint_load_report.json=true;optimizer_groups.json=true;trainability_report.json=true;metrics_by_epoch.jsonl=true;completed=true;test_evaluation_completed=true;strict_checkpoint_load=true;finite_dataset=true;validation_selector=true;frozen_mode=true;seed=true;selected_epoch=true;finite_balanced_accuracy=true;finite_macro_f1=true;finite_cohen_kappa=true;finite_weighted_f1=true,44,0.387546967257,0.387896632331,0.308836395451,0.386574509498,0.963375369117568,133347419,3176689152,1152.376662015915,22.5273229265213
CBraMod,faced,interaction_aligned,channel_patch,3407,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,,PRIMARY_CANDIDATE,RQ1;RQ2,faced_evalmode_frozen_axis_blind_s3407_20260804,PAIR_ARTIFACT_UNVERIFIED,0.0002638872453237039,frozen,128463619,validation_kappa,18,0.39023081052066555,0.389112028967704,0.31227865505603936,0.3881569328609679,UNREVIEWED,,complete_three_seed:interaction_aligned:channel_patch,VERIFIED,all required checks passed,summary.json=true;test_metrics.json=true;resolved_config.json=true;provenance.json=true;dataset_audit.json=true;checkpoint_load_report.json=true;optimizer_groups.json=true;trainability_report.json=true;metrics_by_epoch.jsonl=true;completed=true;test_evaluation_completed=true;strict_checkpoint_load=true;finite_dataset=true;validation_selector=true;frozen_mode=true;seed=true;selected_epoch=true;finite_balanced_accuracy=true;finite_macro_f1=true;finite_cohen_kappa=true;finite_weighted_f1=true,18,0.390230810521,0.389112028968,0.312278655056,0.388156932861,0.963375369117568,133347419,3176689152,1154.4216539859772,22.549000601768494
CBraMod,faced,interaction_aligned,channel_patch,42,faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,,PRIMARY_CANDIDATE,RQ1;RQ2,faced_evalmode_frozen_axis_blind_s42_20260804,PAIR_ARTIFACT_UNVERIFIED,0.0002638872453237039,frozen,128463619,validation_kappa,37,0.3951959205582394,0.39505783033163044,0.31846788646688606,0.3943868787640964,UNREVIEWED,,complete_three_seed:interaction_aligned:channel_patch,VERIFIED,all required checks passed,summary.json=true;test_metrics.json=true;resolved_config.json=true;provenance.json=true;dataset_audit.json=true;checkpoint_load_report.json=true;optimizer_groups.json=true;trainability_report.json=true;metrics_by_epoch.jsonl=true;completed=true;test_evaluation_completed=true;strict_checkpoint_load=true;finite_dataset=true;validation_selector=true;frozen_mode=true;seed=true;selected_epoch=true;finite_balanced_accuracy=true;finite_macro_f1=true;finite_cohen_kappa=true;finite_weighted_f1=true,37,0.395195920558,0.395057830332,0.318467886467,0.394386878764,0.963375369117568,133347419,3176689152,2077.0287511348724,40.39530251979828
CBraMod,faced,generic_bottleneck,none,1024,faced_evalmode_frozen_generic_s1024_20260804,/panfs/accrepfs.vampire/data/neurogroup/mingyangjiang/EEGxPlore/CBraMod/results/faced/faced_evalmode_frozen_generic_s1024_20260804,,PRIMARY_CANDIDATE,CONTEXT,,,,trainable,128430274,validation_kappa,18,0.38754696725711213,0.3863050278036913,0.31001125797439844,0.38562317376620586,UNREVIEWED,,complete_three_seed:generic_bottleneck:none,VERIFIED,all required checks passed,summary.json=true;test_metrics.json=true;resolved_config.json=true;provenance.json=true;dataset_audit.json=true;checkpoint_load_report.json=true;optimizer_groups.json=true;trainability_report.json=true;metrics_by_epoch.jsonl=true;completed=true;test_evaluation_completed=true;strict_checkpoint_load=true;finite_dataset=true;validation_selector=true;frozen_mode=true;seed=true;selected_epoch=true;finite_balanced_accuracy=true;finite_macro_f1=true;finite_cohen_kappa=true;finite_weighted_f1=true,18,0.387546967257,0.386305027804,0.310011257974,0.385623173766,0.963366208431977,133314074,3176009216,1105.7834374904633,21.602909603118896
