backbone,dataset,method,variant,n,seeds,balanced_accuracy_mean,balanced_accuracy_sd,macro_f1_mean,macro_f1_sd,cohen_kappa_mean,cohen_kappa_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,trainable_parameters_sd,trainable_parameter_fraction_mean,trainable_parameter_fraction_sd,peak_gpu_memory_bytes_mean,peak_gpu_memory_bytes_sd,training_wall_seconds_mean,training_wall_seconds_sd,analysis_roles
CBraMod,faced,axis_blind,generic_token_control,3,"42,1024,3407",0.38794954,0.00307473,0.38743783,0.00154016,0.30972327,0.00402838,0.38644569,0.00186210,128463958.00000000,0.00000000,0.96337546,0.00000000,3176823296.00000000,0.00000000,1458.86670407,547.50270757,RQ2
CBraMod,faced,frozen_probe,none,3,"42,1024,3407",0.37770621,0.00228652,0.37887649,0.00241262,0.29927972,0.00114846,0.37839698,0.00156165,128404009.00000000,0.00000000,0.96335899,0.00000000,3175501312.00000000,0.00000000,1167.55144580,57.46909388,RQ1
CBraMod,faced,full_finetune,none,3,"42,1024,3407",0.57179281,0.01069251,0.57860264,0.01175919,0.51541940,0.01104195,0.57459574,0.01120218,133287809.00000000,0.00000000,1.00000000,0.00000000,7221187072.00000000,0.00000000,2695.31828451,28.31332300,RQ3
CBraMod,faced,generic_bottleneck,none,3,"42,1024,3407",0.39018608,0.00309031,0.38923079,0.00353016,0.31229097,0.00308935,0.38819033,0.00334466,128430274.00000000,0.00000000,0.96336621,0.00000000,3176009216.00000000,0.00000000,1459.78188729,539.40413232,CONTEXT
CBraMod,faced,interaction_aligned,channel_patch,3,"42,1024,3407",0.39099123,0.00388076,0.39068883,0.00383216,0.31319431,0.00488060,0.38970611,0.00413016,128463619.00000000,0.00000000,0.96337537,0.00000000,3176689152.00000000,0.00000000,1461.27568905,533.25877452,RQ1;RQ2
CBraMod,faced,lora,none,3,"42,1024,3407",0.41742709,0.00743567,0.41816865,0.00840417,0.34168619,0.00855028,0.41608024,0.00834613,128480809.00000000,0.00000000,0.96338009,0.00000000,5325818880.00000000,0.00000000,1858.97593522,500.38919075,CONTEXT
CBraMod,faced,native_full_finetune,channel_patch,3,"42,1024,3407",0.56535158,0.00421799,0.57132377,0.00333424,0.50723153,0.00418278,0.56697571,0.00308928,133347419.00000000,0.00000000,1.00000000,0.00000000,7404007936.00000000,0.00000000,2694.82508683,835.35973498,RQ3
CBraMod,faced,upper_k_finetune,none,3,"42,1024,3407",0.40347110,0.00466660,0.40363996,0.00503194,0.32635190,0.00605770,0.40179767,0.00558848,129209209.00000000,0.00000000,0.96940005,0.00000000,3482974720.00000000,0.00000000,1521.61024149,539.28832337,RQ3
CBraMod,isruc,axis_blind,generic_token_control,3,"42,1024,3407",0.75329587,0.00779010,0.75123944,0.00851677,0.71039197,0.01083945,0.77541854,0.00820554,21647410.00000000,0.00000000,,,814768128.00000000,0.00000000,1349.34718164,282.14458957,RQ2
CBraMod,isruc,frozen_probe,none,3,"42,1024,3407",0.75620401,0.00325672,0.75164560,0.00548107,0.71119704,0.00994481,0.77505242,0.00915853,21587461.00000000,0.00000000,,,809702400.00000000,0.00000000,1276.16692130,189.51898409,RQ1
CBraMod,isruc,full_finetune,none,3,"42,1024,3407",0.78102025,0.01048789,0.77798490,0.00986484,0.74057538,0.01163448,0.80089504,0.00823060,26471261.00000000,0.00000000,,,6823218176.00000000,0.00000000,2727.65538979,9.35832426,RQ3
CBraMod,isruc,generic_bottleneck,none,3,"42,1024,3407",0.74530760,0.00634244,0.74209467,0.00385456,0.70298749,0.00741071,0.76762561,0.00419274,21613726.00000000,0.00000000,,,812717568.00000000,0.00000000,1147.88726282,155.47586116,CONTEXT
CBraMod,isruc,interaction_aligned,channel_patch,3,"42,1024,3407",0.75305595,0.00580819,0.74844725,0.00700781,0.71458018,0.00290470,0.77522956,0.00389380,21621940.33333333,21763.79574737,,,906111317.33333337,20062007.33151310,1215.70905987,152.07628051,RQ1;RQ2
CBraMod,isruc,lora,none,3,"42,1024,3407",0.75136962,0.00453751,0.74660065,0.00703445,0.70962929,0.00845090,0.77347885,0.00633197,21664261.00000000,0.00000000,,,4233985536.00000000,0.00000000,2098.49463892,43.90402319,CONTEXT
CBraMod,isruc,native_full_finetune,channel_patch,3,"42,1024,3407",0.78291491,0.01177340,0.77818343,0.01545651,0.74419674,0.01247582,0.80097421,0.01291309,26530871.00000000,0.00000000,,,7099435008.00000000,39019.64059291,2846.82356342,12.25732556,RQ3
CBraMod,isruc,upper_k_finetune,none,3,"42,1024,3407",0.77735898,0.00163011,0.77249195,0.00279998,0.74051092,0.00896464,0.79720033,0.00713463,22392661.00000000,0.00000000,,,1676089344.00000000,0.00000000,1306.52718043,135.70620489,RQ3
CBraMod,physionet_mi,axis_blind,generic_token_control,3,"42,1024,3407",0.53937523,0.00408899,0.54237533,0.00656420,0.38576389,0.00550178,0.54234839,0.00657252,41181753.00000000,0.00000000,0.89398152,0.00000000,1070349312.00000000,0.00000000,735.70718018,299.89850135,RQ2
