contrast,backbone,dataset,axis,seed,adapter_run_id,reference_run_id,metric,adapter_value,reference_value,effect_adapter_minus_reference
delta_frozen,CBraMod,faced,channel_patch,1024,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_probe_s1024_20260804,balanced_accuracy,0.38754697,0.37909286,0.00845411
delta_frozen,CBraMod,faced,channel_patch,1024,faced_evalmode_frozen_channel_patch_s1024_lr5e-4_20260804,faced_evalmode_frozen_probe_s1024_20260804,macro_f1,0.38789663,0.37959631,0.00830032
delta_frozen,CBraMod,faced,channel_patch,3407,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_probe_s3407_20260804,balanced_accuracy,0.39023081,0.37895867,0.01127214
delta_frozen,CBraMod,faced,channel_patch,3407,faced_evalmode_frozen_channel_patch_s3407_lr5e-4_20260804,faced_evalmode_frozen_probe_s3407_20260804,macro_f1,0.38911203,0.38084728,0.00826475
delta_frozen,CBraMod,faced,channel_patch,42,faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,faced_evalmode_frozen_probe_s42_20260804,balanced_accuracy,0.39519592,0.37506710,0.02012882
delta_frozen,CBraMod,faced,channel_patch,42,faced_evalmode_frozen_channel_patch_s42_lr5e-4_20260804,faced_evalmode_frozen_probe_s42_20260804,macro_f1,0.39505783,0.37618589,0.01887194
delta_frozen,CBraMod,isruc,channel_patch,1024,isruc_cbramod_alpha0_frozen_channel_patch_r32_s1024,isruc_cbramod_frozen_probe_s1024_lr2e-4_b8_e20,balanced_accuracy,0.74679583,0.75438556,-0.00758973
delta_frozen,CBraMod,isruc,channel_patch,1024,isruc_cbramod_alpha0_frozen_channel_patch_r32_s1024,isruc_cbramod_frozen_probe_s1024_lr2e-4_b8_e20,macro_f1,0.74217810,0.75090458,-0.00872648
delta_frozen,CBraMod,isruc,channel_patch,3407,isruc_cbramod_alpha0_frozen_channel_patch_r32_s3407,isruc_cbramod_frozen_probe_s3407_lr2e-4_b8_e20,balanced_accuracy,0.75827006,0.75996388,-0.00169382
delta_frozen,CBraMod,isruc,channel_patch,3407,isruc_cbramod_alpha0_frozen_channel_patch_r32_s3407,isruc_cbramod_frozen_probe_s3407_lr2e-4_b8_e20,macro_f1,0.75601271,0.75745947,-0.00144676
delta_frozen,CBraMod,isruc,channel_patch,42,isruc_cbramod_frozen_channel_patch_s42_lr2e-4_b8_e20,isruc_cbramod_frozen_probe_s42_lr2e-4_b8_e20,balanced_accuracy,0.75410196,0.75426260,-0.00016064
delta_frozen,CBraMod,isruc,channel_patch,42,isruc_cbramod_frozen_channel_patch_s42_lr2e-4_b8_e20,isruc_cbramod_frozen_probe_s42_lr2e-4_b8_e20,macro_f1,0.74715092,0.74657274,0.00057818
