backbone,dataset,role,rows
CBraMod,faced,CONTEXT,6
CBraMod,faced,RQ1,6
CBraMod,faced,RQ2,6
CBraMod,faced,RQ3,9
CBraMod,isruc,RQ1,6
CBraMod,isruc,RQ2,6
CBraMod,physionet_mi,BOUNDARY,9
CBraMod,physionet_mi,CONTEXT,6
CBraMod,physionet_mi,RQ1,6
CBraMod,physionet_mi,RQ3,3
CBraMod,seedv,BOUNDARY,12
CBraMod,seedv,CONTEXT,6
CBraMod,seedv,RQ1,6
CBraMod,seedv,RQ3,9
CBraMod,tuev,CONTEXT,6
CBraMod,tuev,RQ1,6
CBraMod,tuev,RQ2,6
CBraMod,tuev,RQ3,9
LaBraM,FACED,CONTEXT,6
LaBraM,FACED,RQ1,6
LaBraM,FACED,RQ3,3
LaBraM,PhysioNet-MI,BOUNDARY,12
LaBraM,PhysioNet-MI,CONTEXT,6
LaBraM,PhysioNet-MI,RQ1,6
LaBraM,PhysioNet-MI,RQ3,9
LaBraM,SEED-V,BOUNDARY,3
LaBraM,SEED-V,CONTEXT,6
LaBraM,SEED-V,RQ3,3
LaBraM,TUEV,CONTEXT,6
LaBraM,TUEV,RQ1,6
LaBraM,TUEV,RQ2,6
LaBraM,TUEV,RQ3,3
