backbone,dataset,method,axis,n,seeds,balanced_accuracy_mean,balanced_accuracy_sd,cohen_kappa_mean,cohen_kappa_sd,macro_f1_mean,macro_f1_sd,weighted_f1_mean,weighted_f1_sd,trainable_parameters_mean,trainable_parameters_sd,selected_epoch_mean,selected_epoch_sd
CBraMod,faced,axis_blind,generic_token_control,3,"42,1024,3407",0.3879495437466452,0.003074728727157686,0.30972327140721184,0.00402838053709594,0.38743783007918375,0.0015401550920990496,0.3864456906541218,0.0018620982913791376,128463958.0,0.0,31.0,3.605551275463989
CBraMod,faced,frozen_probe,none,3,"42,1024,3407",0.377706208624083,0.0022865231560444256,0.29927972065725,0.001148458851428145,0.37887649298285786,0.0024126213327037055,0.37839697677279227,0.0015616451692771216,128404009.0,0.0,35.333333333333336,15.947831618540915
CBraMod,faced,full_finetune,none,3,"42,1024,3407",0.5717928073000537,0.010692513747644248,0.5154193962879748,0.011041946170771939,0.5786026417088078,0.011759187042049705,0.5745957435911215,0.01120218402433392,133287809.0,0.0,23.333333333333332,4.725815626252609
CBraMod,faced,generic_bottleneck,none,3,"42,1024,3407",0.39018607979960634,0.0030903069331572578,0.31229096711084264,0.0030893535166112837,0.3892307856487294,0.0035301620491266375,0.3881903308203765,0.0033446622093586654,128430274.0,0.0,27.666666666666668,8.736894948054104
CBraMod,faced,interaction_aligned,channel,3,"42,1024,3407",0.3794507067453927,0.0037293190816057877,0.30146362146905087,0.0036062494813712247,0.3803801223908987,0.0038462394456485727,0.37999125600157563,0.003528229729719777,128433814.0,0.0,36.0,7.54983443527075
CBraMod,faced,interaction_aligned,channel_patch,3,"42,1024,3407",0.39099123277867237,0.003880760641750569,0.313194312324498,0.004880596887094012,0.3906888305436105,0.003832155608350814,0.389706107040889,0.0041301614821716666,128463619.0,0.0,33.0,13.45362404707371
CBraMod,faced,interaction_aligned,patch,3,"42,1024,3407",0.38678654499910536,0.007055411670183931,0.30927308742548165,0.007197155179359346,0.3872523437539998,0.006294178055557499,0.38663893632938795,0.00599093292749559,128433814.0,0.0,42.333333333333336,5.033222956847166
CBraMod,faced,lora,none,3,"42,1024,3407",0.41742708892467345,0.007435666752430991,0.34168618822608765,0.008550280243791633,0.418168650940705,0.008404169869926965,0.4160802444314703,0.008346132688011541,128480809.0,0.0,14.666666666666666,5.507570547286102
CBraMod,faced,native_full_finetune,channel,3,"42,1024,3407",0.5645016997674003,0.016039378766421333,0.5078555190795054,0.017037018107477545,0.5734871920534892,0.015015621353640847,0.5693316768142537,0.014739601266075111,133317614.0,0.0,27.0,8.717797887081348
CBraMod,faced,native_full_finetune,channel_patch,3,"42,1024,3407",0.5653515834675255,0.004217990779791177,0.5072315302768259,0.004182775834692235,0.5713237715504184,0.003334239648678344,0.5669757116051704,0.0030892814795420885,133347419.0,0.0,26.666666666666668,3.511884584284246
