epoch,n_seeds,validation_cohen_kappa_mean,validation_cohen_kappa_sd,test_balanced_accuracy_mean,test_balanced_accuracy_sd,test_cohen_kappa_mean,test_cohen_kappa_sd,test_f1_weighted_mean,test_f1_weighted_sd
0,3,0.5148628626257855,0.0012804460370221314,0.5171852895885222,2.952134022220436e-05,0.46664534527789575,0.00035092280914851304,0.5183353971470579,0.0004870118241375493
1,3,0.5846981912196225,0.0015545831403179981,0.5920909140334739,0.002401949581506458,0.5567800190644826,0.002383803929535097,0.6275049571002811,0.002841755662332108
2,3,0.6124655433432905,0.002824899466959004,0.6444213431761371,0.004056739167085099,0.6065488156367056,0.0014922915702989873,0.6666374461136589,0.0018572540991320552
3,3,0.6276827135367966,0.0010495022909896591,0.6492078288785594,0.002035721156075273,0.604947046445744,0.002511883454604092,0.6744151300768021,0.002106301253195612
4,3,0.6184301735999549,0.0015961764954763725,0.6537695966031593,0.0013247854786196563,0.6115844572938531,0.0010178995388792492,0.6832909545909499,0.0010835172660462122
5,3,0.6641414730322036,0.0016394919299306517,0.6904672399986873,0.0016900878243349196,0.6487728998883135,0.00166413396729782,0.7121276589151901,0.0014759480413809596
6,3,0.6572442245416217,0.0006167136163612602,0.6670094536690061,0.001275635545443794,0.6299105897116873,0.0014968019872507378,0.6902481865137079,0.0016735621117476048
7,3,0.6531566696415062,0.0003442954812527779,0.6720469439232866,0.0010659762737679603,0.637385277852146,0.0013406197978103323,0.7035535819135285,0.0012143528792328804
8,3,0.6607942044296147,0.0027460987876497932,0.6828887094587213,0.0031974676727528103,0.6357312093451709,0.0032400077663350155,0.7040724251484185,0.002124231336778866
9,3,0.6627993792040171,0.00022962475978247543,0.7004788403003661,0.0014476797777971979,0.656569994006359,0.0012091116548978262,0.7242202418728858,0.0014201132475468313
10,3,0.657618914571601,0.001028039333485577,0.6782589134847717,0.0013689770068537133,0.6350560872478137,0.0010996428346606443,0.7035140400785669,0.0011579520163800012
11,3,0.647560021369393,0.0006573429505503016,0.6845256504911574,0.0009404137209159806,0.6479387843061262,0.001180215385768913,0.718986678782917,0.0012475492704093491
12,3,0.6518612709497315,0.002064013301768137,0.6764734681431352,0.0033768406722257194,0.6380301160097501,0.0038551595215957765,0.7080165881958854,0.0032776027021782367
13,3,0.666917398830125,0.0023815696923363853,0.6972970720124652,0.0029705110579601097,0.6493731490070371,0.0040168850629780095,0.7198267704640462,0.003058620647964574
14,3,0.6749449912012127,0.0012366482439625968,0.6955126368377449,0.0035148271447131996,0.6355883662203875,0.003254453419802368,0.6964065987249571,0.002952599941329915
15,3,0.6814467887955887,0.0008213706355816031,0.7015485665660817,0.0020874792960779926,0.6610266295245308,0.0018601432787402191,0.7243073538970373,0.001724158711443458
16,3,0.6837025911087884,0.0014769630134711651,0.7160946133779832,0.0026015516809210345,0.6699953331960469,0.0028976102626786723,0.734195166916772,0.0025540472968444655
17,3,0.6668833652191702,0.0026440820164316484,0.7016096311972453,0.0011973918203850818,0.656700762610036,0.001557805426279898,0.7270695304218798,0.001312884324112853
18,3,0.686723957043115,0.0029923455653736637,0.7187760925492941,0.0023044473635416107,0.6769022469545772,0.002815887355292605,0.7413441111920679,0.0022632472327179048
19,3,0.6789534408694676,0.0032392940886656766,0.7058062597104431,0.0032493237973626253,0.6661475559149496,0.0035536945742528,0.7289708504422567,0.0031192841008571594
20,3,0.6725166606903449,0.00230945724840798,0.7070622995195488,0.0021781384006060635,0.6696457315382636,0.0021104674453385464,0.7366348031119279,0.0018207518242917644
21,3,0.6826124499500338,0.0023565977484171904,0.7196844107015826,0.0008820715572851259,0.6775269856552912,0.0011673834427880412,0.7433350632347149,0.0007864645768073228
22,3,0.6921244133793324,0.0023118757880238273,0.7232984103817328,0.002186279556552195,0.6831573889890157,0.002126034535355831,0.7456101362539256,0.0017647073652331939
23,3,0.6794277561262817,0.0028553076728504126,0.7105535213021772,0.0029286444292328947,0.6732767609222831,0.0028700449305287864,0.7381107524341988,0.0023571459008882886
24,3,0.6898908409967526,0.0031582352293041834,0.7220922066168531,0.0017195218552384587,0.6804667733754921,0.002052805699439512,0.7435613927738901,0.0016923010256651905
25,3,0.6884920460955946,0.00229092537036097,0.7214473783654888,0.0014102755507578294,0.6807483280716592,0.001743802664835304,0.7440495858250845,0.001410867946461285
26,3,0.6890574438015147,0.0023539270459129224,0.7213147176659649,0.0018276430285545603,0.6806605416737043,0.002358218913982139,0.7439030117440285,0.002005349881250169
27,3,0.6880574157533971,0.003320632289203423,0.7214437863738468,0.0012195861936499111,0.6801188128578027,0.0019304028090354696,0.7435140251249608,0.0013834233573606395
28,3,0.6878768476039824,0.0027913062109266125,0.7208233401326983,0.0012397319590379784,0.6793487092307308,0.001798425783840766,0.7429494724760557,0.001310350070145094
29,3,0.6877442047196106,0.003147210726976651,0.7208997364332826,0.0017056446584304804,0.6794266222177182,0.002317689893535482,0.742824228043906,0.0017783569320035273
