comparison,backbone,dataset,axis,metric,n,seeds,effect_mean,effect_sd,positive_seeds,effect_min,effect_max,scope_note,pair_validity,pair_invalid_reason,parameter_match_pct_mean
aligned_vs_axis_blind,CBraMod,faced,channel,balanced_accuracy,3,"42,1024,3407",-0.00849883700125246,0.005696980215033277,0,-0.014761137949543757,-0.0036231884057971175,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,faced,channel,cohen_kappa,3,"42,1024,3407",-0.00825964993816101,0.006678426960078189,0,-0.015759145148898535,-0.002954407122515823,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,faced,channel,macro_f1,3,"42,1024,3407",-0.007057707688285064,0.0044862978339873195,0,-0.01144751835777219,-0.0024807780107225508,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,faced,channel,weighted_f1,3,"42,1024,3407",-0.006454434652546174,0.004616180431989062,0,-0.011202368892613557,-0.001982382186375309,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,faced,channel_patch,balanced_accuracy,3,"42,1024,3407",0.0030416890320271914,0.004543417163615294,2,-0.0010735373054213682,0.007917337627482535,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,faced,channel_patch,cohen_kappa,3,"42,1024,3407",0.0034710409172861536,0.0060822161571193805,2,-0.001961798504074075,0.010041879552812105,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,faced,channel_patch,macro_f1,3,"42,1024,3407",0.003251000464426742,0.004050394117373044,3,5.0050544323276824e-05,0.007804631738118573,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,faced,channel_patch,weighted_f1,3,"42,1024,3407",0.0032604163867671807,0.004583671262705712,2,-0.00034330823776823616,0.008419348681540761,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,faced,patch,balanced_accuracy,3,"42,1024,3407",-0.0011629987475398156,0.004210156598511423,1,-0.004294149221685473,0.0036231884057971175,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,faced,patch,cohen_kappa,3,"42,1024,3407",-0.0004501839817302085,0.003322806684920244,1,-0.0029063773926087944,0.0033306327850589623,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,faced,patch,macro_f1,3,"42,1024,3407",-0.0001854863251839293,0.004810856784103749,1,-0.003460402258370354,0.005337912611120266,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,faced,patch,weighted_f1,3,"42,1024,3407",0.00019324567526612935,0.0041490997043217735,1,-0.0026881359385869663,0.004948790680029291,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,isruc,channel_patch,balanced_accuracy,3,"42,1024,3407",0.004559549790639846,0.017746112403380615,2,-0.01570644927447995,0.01731770967122459,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,isruc,channel_patch,cohen_kappa,3,"42,1024,3407",0.004389075298197283,0.024506017196739293,2,-0.023654538046844698,0.021683754067549965,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,isruc,channel_patch,macro_f1,3,"42,1024,3407",0.005356434333080344,0.021555906086205737,2,-0.019254343169948895,0.020885068377713978,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,isruc,channel_patch,weighted_f1,3,"42,1024,3407",0.0035900747168268188,0.020770348215924214,2,-0.01999304377335076,0.019161152015772398,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,physionet_mi,channel,balanced_accuracy,3,"42,1024,3407",0.005548831442371134,0.01145792401445214,2,-0.0038248653166979008,0.018321740638070905,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,physionet_mi,channel,cohen_kappa,3,"42,1024,3407",0.0073897849454078735,0.015269917574480263,2,-0.005139410182349979,0.024398442953055155,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,physionet_mi,channel,macro_f1,3,"42,1024,3407",0.0041309733373910236,0.010247879022791498,2,-0.006423502069166309,0.014041925655862597,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,physionet_mi,channel,weighted_f1,3,"42,1024,3407",0.004119067773018255,0.010233983855062828,2,-0.006428583424771928,0.014007513204901012,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,physionet_mi,patch,balanced_accuracy,3,"42,1024,3407",0.002567780901404452,0.019340871644187095,1,-0.013905014696408813,0.023863832977948696,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,physionet_mi,patch,cohen_kappa,3,"42,1024,3407",0.003438069693020074,0.025753184743670384,1,-0.018499388394715877,0.03179321509933142,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,physionet_mi,patch,macro_f1,3,"42,1024,3407",-0.0007272749579209462,0.01862307746290743,1,-0.013451166738898457,0.020647863386171084,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,physionet_mi,patch,weighted_f1,3,"42,1024,3407",-0.0007324225789728059,0.018604003543936366,1,-0.013453458944497343,0.020619438879261764,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,channel,balanced_accuracy,3,"42,1024,3407",-0.008742766296282992,0.004245095632787963,0,-0.013631948141735961,-0.005993605852617101,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,channel,cohen_kappa,3,"42,1024,3407",-0.01049846686961331,0.005730392590384579,0,-0.017073722773716105,-0.006569039426594925,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,channel,macro_f1,3,"42,1024,3407",-0.013634247544623742,0.014025151215130049,0,-0.029801372530324888,-0.00473036872266458,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,channel,weighted_f1,3,"42,1024,3407",-0.012286803972259916,0.012910792674531815,0,-0.02699262962555299,-0.002814318930293769,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,patch,balanced_accuracy,3,"42,1024,3407",-0.005485692828093802,0.005876327611740325,0,-0.011986018271556542,-0.000550136073115326,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,patch,cohen_kappa,3,"42,1024,3407",-0.006278246909372879,0.008058255191842206,1,-0.014864472817063601,0.0011201873214786717,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,patch,macro_f1,3,"42,1024,3407",-0.006351872754453702,0.005561939742991458,0,-0.011964772841062676,-0.0008423340762767628,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,seedv,patch,weighted_f1,3,"42,1024,3407",-0.005444918913540042,0.006354892391431445,1,-0.011561053830520474,0.0011244627668111074,within-subject protocol; patch axis is singleton/degenerate,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,channel,balanced_accuracy,3,"42,1024,3407",-0.002108169814268923,0.006291717105823299,1,-0.006378474515460142,0.005117078552999421,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,channel,cohen_kappa,3,"42,1024,3407",0.006157586768921493,0.005408135231169795,3,0.0017267639347250396,0.012184006377770618,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,channel,macro_f1,3,"42,1024,3407",0.003505887936609775,0.004255438624290846,3,0.0006042790373951834,0.008390969199769727,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,channel,weighted_f1,3,"42,1024,3407",0.0038965107060013513,0.0026535434242239827,3,0.0020105364138452986,0.00693081763423542,,PAIR_STRUCTURALLY_INVALID,parameter mismatch exceeds 5 percent,50.28274032927988
aligned_vs_axis_blind,CBraMod,tuev,channel_patch,balanced_accuracy,3,"42,1024,3407",-0.0032092022855662594,0.01937512753926634,1,-0.021097749782011177,0.017371027311378406,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,tuev,channel_patch,cohen_kappa,3,"42,1024,3407",-0.008485205649857405,0.014617475188885997,1,-0.017078232995900833,0.00839266294504415,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,tuev,channel_patch,macro_f1,3,"42,1024,3407",-0.0043528069639354365,0.017122389661096773,1,-0.019290883788224855,0.014333032386986522,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
aligned_vs_axis_blind,CBraMod,tuev,channel_patch,weighted_f1,3,"42,1024,3407",-0.004541350309141119,0.007373695097316384,1,-0.008822938292557647,0.003973012748905491,,PAIR_ARTIFACT_UNVERIFIED,full configuration-level nuisance matching not yet manually confirmed,0.5654806585597758
